Datetime,num_of_neurons,batch_size,lr,epoch,imbalanced,Loss,Acc,AUC,Pre,Rec,Method,method,comments
"05/31/2022, 10:21:34","[64, 64, 32, 16]",16,0.001,30,False,0.932428240776062,0.6000000238418579,0.7599999904632568,0.6000000238418579,0.6000000238418579,raw,,0
"05/31/2022, 10:25:04","[64, 64, 32, 16]",8,0.001,30,False,0.4414989054203033,0.699999988079071,0.9199999570846558,0.75,0.6000000238418579,raw,,0
"05/31/2022, 10:27:58","[64, 64, 32, 16]",8,0.001,30,True,0.9041354060173036,0.699999988079071,0.7599999904632568,0.6666666865348816,0.800000011920929,raw,,0
"05/31/2022, 10:33:36","[128, 64, 32, 16]",8,0.001,30,True,0.8765894770622253,0.800000011920929,0.8399999737739563,0.7142857313156128,1.0,raw,,0
"05/31/2022, 11:07:37","[128, 64, 32, 16]",8,0.001,300,False,0.7486878633499146,0.6000000238418579,0.7599999904632568,0.5714285969734192,0.800000011920929,raw,,0
"05/31/2022, 11:38:50","[128, 64, 32, 16]",8,0.001,300,True,1.6842880249023438,0.800000011920929,0.7200000286102295,0.7142857313156128,1.0,raw,,0
"05/31/2022, 12:03:21","[64, 64, 64, 16]",8,0.001,30,False,2.7392337322235107,0.6000000238418579,0.6200000047683716,0.6000000238418579,0.6000000238418579,raw,,0
"06/01/2022, 09:20:23","[64, 64, 32, 16]",8,0.001,30,False,0.4733972549438476,0.6000000238418579,0.8400000333786011,0.6000000238418579,0.6000000238418579,raw,,0
"06/01/2022, 09:23:12","[64, 64, 32, 16]",8,0.001,30,False,0.4414989054203033,0.699999988079071,0.9199999570846558,0.75,0.6000000238418579,raw,,0
"06/01/2022, 09:29:59","[128, 64, 32, 16]",8,0.001,30,True,0.8765894770622253,0.800000011920929,0.8399999737739563,0.7142857313156128,1.0,raw,,0
"06/01/2022, 09:41:30","[128, 64, 64, 16]",8,0.001,30,True,1.6914093494415283,0.699999988079071,0.7400000095367432,0.75,0.6000000238418579,raw,,0
